Year,Period,Trade Flow,Reporter,Partner,Commodity,Commodity Code,Trade Value (US$)
2014,2014,Export,USA,Cook Isds,Beer made from malt,2203,17611
2014,2014,Export,USA,Costa Rica,Beer made from malt,2203,2581760
2014,2014,Export,USA,Cyprus,Beer made from malt,2203,59807
2014,2014,Export,USA,Denmark,Beer made from malt,2203,2549573
2014,2014,Export,USA,Dominican Rep.,Beer made from malt,2203,3595159
2014,2014,Export,USA,Ecuador,Beer made from malt,2203,649899
2014,2014,Export,USA,El Salvador,Beer made from malt,2203,486898
2014,2014,Export,USA,Equatorial Guinea,Beer made from malt,2203,51400
2014,2014,Export,USA,Fiji,Beer made from malt,2203,14365
2014,2014,Export,USA,Finland,Beer made from malt,2203,794296
2014,2014,Export,USA,France,Beer made from malt,2203,630553
2014,2014,Export,USA,French Polynesia,Beer made from malt,2203,146004
2014,2014,Export,USA,Germany,Beer made from malt,2203,1235911
2014,2014,Export,USA,Kiribati,Beer made from malt,2203,44852
2014,2014,Export,USA,Greece,Beer made from malt,2203,15416
2014,2014,Export,USA,Guatemala,Beer made from malt,2203,2211642
2014,2014,Export,USA,Guinea,Beer made from malt,2203,13393
2014,2014,Export,USA,Haiti,Beer made from malt,2203,64518
2014,2014,Export,USA,Honduras,Beer made from malt,2203,4464653
2014,2014,Export,USA,"China, Hong Kong SAR",Beer made from malt,2203,1903545
2014,2014,Export,USA,Iceland,Beer made from malt,2203,47410
2014,2014,Export,USA,Ireland,Beer made from malt,2203,1073902
2014,2014,Export,USA,Israel,Beer made from malt,2203,156143
2014,2014,Export,USA,Italy,Beer made from malt,2203,2319999
2014,2014,Export,USA,Côte d'Ivoire,Beer made from malt,2203,24252
2014,2014,Export,USA,Jamaica,Beer made from malt,2203,133631
2014,2014,Export,USA,Japan,Beer made from malt,2203,5199040
2014,2014,Export,USA,Jordan,Beer made from malt,2203,186802
2014,2014,Export,USA,Kenya,Beer made from malt,2203,14986
2014,2014,Export,USA,Rep. of Korea,Beer made from malt,2203,8202270
2014,2014,Export,USA,Lebanon,Beer made from malt,2203,362070
2014,2014,Export,USA,Latvia,Beer made from malt,2203,97928
2014,2014,Export,USA,Lithuania,Beer made from malt,2203,21469
2014,2014,Export,USA,Malaysia,Beer made from malt,2203,1595582
2014,2014,Export,USA,Malta,Beer made from malt,2203,133667
2014,2014,Export,USA,Mexico,Beer made from malt,2203,119779012
2014,2014,Export,USA,"Other Asia, nes",Beer made from malt,2203,7553838
2014,2014,Export,USA,Morocco,Beer made from malt,2203,578651
2014,2014,Export,USA,Oman,Beer made from malt,2203,370727
2014,2014,Export,USA,Netherlands,Beer made from malt,2203,1981535
2014,2014,Export,USA,Curaçao,Beer made from malt,2203,4146520
2014,2014,Export,USA,Aruba,Beer made from malt,2203,1903900
2014,2014,Export,USA,Saint Maarten,Beer made from malt,2203,1576488
2014,2014,Export,USA,New Zealand,Beer made from malt,2203,1469517
2014,2014,Export,USA,Nicaragua,Beer made from malt,2203,70560
2014,2014,Export,USA,Norway,Beer made from malt,2203,1242232
2014,2014,Export,USA,FS Micronesia,Beer made from malt,2203,1181699
2014,2014,Export,USA,Marshall Isds,Beer made from malt,2203,71078
2014,2014,Export,USA,Palau,Beer made from malt,2203,1237181
2014,2014,Export,USA,Pakistan,Beer made from malt,2203,183912
2014,2014,Export,USA,Panama,Beer made from malt,2203,23252179
2014,2014,Export,USA,Paraguay,Beer made from malt,2203,26279981
2014,2014,Export,USA,Peru,Beer made from malt,2203,1237052
2014,2014,Export,USA,Philippines,Beer made from malt,2203,361192
2014,2014,Export,USA,Portugal,Beer made from malt,2203,5223
2014,2014,Export,USA,Qatar,Beer made from malt,2203,339678
2014,2014,Export,USA,Russian Federation,Beer made from malt,2203,23237
2014,2014,Export,USA,Saint Kitts and Nevis,Beer made from malt,2203,11383
2014,2014,Export,USA,Anguilla,Beer made from malt,2203,20220
2014,2014,Export,USA,Saint Lucia,Beer made from malt,2203,57590
2014,2014,Export,USA,Saint Vincent and the Grenadines,Beer made from malt,2203,63314
2014,2014,Export,USA,Sierra Leone,Beer made from malt,2203,23547
2014,2014,Export,USA,India,Beer made from malt,2203,16544
2014,2014,Export,USA,Singapore,Beer made from malt,2203,3246378
2014,2014,Export,USA,Viet Nam,Beer made from malt,2203,1835069
2014,2014,Export,USA,South Africa,Beer made from malt,2203,187406
2014,2014,Export,USA,Spain,Beer made from malt,2203,89998
2014,2014,Export,USA,Suriname,Beer made from malt,2203,25920
2014,2014,Export,USA,Sweden,Beer made from malt,2203,17896938
2014,2014,Export,USA,Switzerland,Beer made from malt,2203,365667
2014,2014,Export,USA,Thailand,Beer made from malt,2203,326054
2014,2014,Export,USA,Trinidad and Tobago,Beer made from malt,2203,3879382
2014,2014,Export,USA,United Arab Emirates,Beer made from malt,2203,3720301
2014,2014,Export,USA,Turkey,Beer made from malt,2203,1905025
2014,2014,Export,USA,Turks and Caicos Isds,Beer made from malt,2203,712497
2014,2014,Export,USA,Ukraine,Beer made from malt,2203,27150
2014,2014,Export,USA,United Kingdom,Beer made from malt,2203,15032985
2014,2014,Export,USA,Uruguay,Beer made from malt,2203,596192
2014,2014,Export,USA,Samoa,Beer made from malt,2203,85742
2015,2015,Export,USA,Antigua and Barbuda,Beer made from malt,2203,109972
2015,2015,Export,USA,Argentina,Beer made from malt,2203,12000
2015,2015,Export,USA,Australia,Beer made from malt,2203,18513153
2015,2015,Export,USA,Bahamas,Beer made from malt,2203,3296180
2015,2015,Export,USA,Bahrain,Beer made from malt,2203,414863
2015,2015,Export,USA,Barbados,Beer made from malt,2203,115372
2015,2015,Export,USA,Belgium,Beer made from malt,2203,2771480
2015,2015,Export,USA,Bermuda,Beer made from malt,2203,1054435
2015,2015,Export,USA,Bolivia (Plurinational State of),Beer made from malt,2203,245596
2015,2015,Export,USA,Brazil,Beer made from malt,2203,2306314
2015,2015,Export,USA,Belize,Beer made from malt,2203,420739
2015,2015,Export,USA,Br. Virgin Isds,Beer made from malt,2203,1135855
2015,2015,Export,USA,Myanmar,Beer made from malt,2203,6490
2015,2015,Export,USA,Cambodia,Beer made from malt,2203,537300
2015,2015,Export,USA,Canada,Beer made from malt,2203,154159600
2015,2015,Export,USA,Cayman Isds,Beer made from malt,2203,1581440
2015,2015,Export,USA,Chile,Beer made from malt,2203,47336077
2015,2015,Export,USA,China,Beer made from malt,2203,6875605
2015,2015,Export,USA,Colombia,Beer made from malt,2203,7817970
2015,2015,Export,USA,Cook Isds,Beer made from malt,2203,10442
2015,2015,Export,USA,Costa Rica,Beer made from malt,2203,5075422
2015,2015,Export,USA,Croatia,Beer made from malt,2203,32054
2015,2015,Export,USA,Cyprus,Beer made from malt,2203,97605
2015,2015,Export,USA,Denmark,Beer made from malt,2203,2985925
2015,2015,Export,USA,Dominican Rep.,Beer made from malt,2203,4780230
2015,2015,Export,USA,Ecuador,Beer made from malt,2203,560130
2015,2015,Export,USA,El Salvador,Beer made from malt,2203,775684
2015,2015,Export,USA,Equatorial Guinea,Beer made from malt,2203,101000
2015,2015,Export,USA,Finland,Beer made from malt,2203,1376468
2015,2015,Export,USA,France,Beer made from malt,2203,1006126
2015,2015,Export,USA,French Polynesia,Beer made from malt,2203,130265
2015,2015,Export,USA,Germany,Beer made from malt,2203,1627862
2015,2015,Export,USA,Kiribati,Beer made from malt,2203,160452
2015,2015,Export,USA,Guatemala,Beer made from malt,2203,1677947
2015,2015,Export,USA,Haiti,Beer made from malt,2203,21485
2015,2015,Export,USA,Honduras,Beer made from malt,2203,5826055
2015,2015,Export,USA,"China, Hong Kong SAR",Beer made from malt,2203,1731424
2015,2015,Export,USA,Iceland,Beer made from malt,2203,69956
2015,2015,Export,USA,Indonesia,Beer made from malt,2203,19385
2015,2015,Export,USA,Ireland,Beer made from malt,2203,1432865
2015,2015,Export,USA,Israel,Beer made from malt,2203,223373
2015,2015,Export,USA,Italy,Beer made from malt,2203,2866558
2015,2015,Export,USA,Jamaica,Beer made from malt,2203,239741
2015,2015,Export,USA,Japan,Beer made from malt,2203,5766438
2015,2015,Export,USA,Jordan,Beer made from malt,2203,11532
2015,2015,Export,USA,Kenya,Beer made from malt,2203,21404
2015,2015,Export,USA,Rep. of Korea,Beer made from malt,2203,9730557
2015,2015,Export,USA,Lebanon,Beer made from malt,2203,39698
2015,2015,Export,USA,Latvia,Beer made from malt,2203,16634
2015,2015,Export,USA,Liberia,Beer made from malt,2203,34122
2015,2015,Export,USA,Lithuania,Beer made from malt,2203,15295
2015,2015,Export,USA,Malaysia,Beer made from malt,2203,1798995
2015,2015,Export,USA,Malta,Beer made from malt,2203,86570
2015,2015,Export,USA,Mexico,Beer made from malt,2203,179544415
2015,2015,Export,USA,"Other Asia, nes",Beer made from malt,2203,8198356
2015,2015,Export,USA,Mongolia,Beer made from malt,2203,131051
2015,2015,Export,USA,Morocco,Beer made from malt,2203,910046
2015,2015,Export,USA,Oman,Beer made from malt,2203,451062
2015,2015,Export,USA,Netherlands,Beer made from malt,2203,3731979
2015,2015,Export,USA,Curaçao,Beer made from malt,2203,3269091
2015,2015,Export,USA,Aruba,Beer made from malt,2203,1936498
2015,2015,Export,USA,Saint Maarten,Beer made from malt,2203,1892178
2015,2015,Export,USA,Vanuatu,Beer made from malt,2203,3420
2015,2015,Export,USA,New Zealand,Beer made from malt,2203,1016165
2015,2015,Export,USA,Nicaragua,Beer made from malt,2203,353904
2015,2015,Export,USA,Norway,Beer made from malt,2203,1630753
2015,2015,Export,USA,FS Micronesia,Beer made from malt,2203,1124418
2015,2015,Export,USA,Marshall Isds,Beer made from malt,2203,3000
2015,2015,Export,USA,Palau,Beer made from malt,2203,1184661
2015,2015,Export,USA,Panama,Beer made from malt,2203,25063735
2015,2015,Export,USA,Paraguay,Beer made from malt,2203,22683034
2015,2015,Export,USA,Peru,Beer made from malt,2203,1668077
2015,2015,Export,USA,Philippines,Beer made from malt,2203,386713
2015,2015,Export,USA,Portugal,Beer made from malt,2203,3830
2015,2015,Export,USA,Qatar,Beer made from malt,2203,214087
2015,2015,Export,USA,Russian Federation,Beer made from malt,2203,265230
2015,2015,Export,USA,Saint Kitts and Nevis,Beer made from malt,2203,6500
2015,2015,Export,USA,Anguilla,Beer made from malt,2203,55544
2015,2015,Export,USA,Saint Lucia,Beer made from malt,2203,79784
2015,2015,Export,USA,Sierra Leone,Beer made from malt,2203,49212
2015,2015,Export,USA,India,Beer made from malt,2203,46181
2015,2015,Export,USA,Singapore,Beer made from malt,2203,3366529
2015,2015,Export,USA,Viet Nam,Beer made from malt,2203,717343
2015,2015,Export,USA,South Africa,Beer made from malt,2203,3375
2015,2015,Export,USA,Spain,Beer made from malt,2203,670795
2015,2015,Export,USA,Sweden,Beer made from malt,2203,23138308
2015,2015,Export,USA,Switzerland,Beer made from malt,2203,724982
2015,2015,Export,USA,Thailand,Beer made from malt,2203,458892
2015,2015,Export,USA,Trinidad and Tobago,Beer made from malt,2203,3883318
2015,2015,Export,USA,United Arab Emirates,Beer made from malt,2203,4414693
2015,2015,Export,USA,Turkey,Beer made from malt,2203,1292293
2015,2015,Export,USA,Turks and Caicos Isds,Beer made from malt,2203,826133
2015,2015,Export,USA,United Kingdom,Beer made from malt,2203,21580470
2015,2015,Export,USA,Uruguay,Beer made from malt,2203,536863
2015,2015,Export,USA,Samoa,Beer made from malt,2203,156762
2016,2016,Export,USA,Antigua and Barbuda,Beer made from malt,2203,95330
2016,2016,Export,USA,Argentina,Beer made from malt,2203,99255
2016,2016,Export,USA,Australia,Beer made from malt,2203,17260842
2016,2016,Export,USA,Bahamas,Beer made from malt,2203,4729070
2016,2016,Export,USA,Bahrain,Beer made from malt,2203,544224
2016,2016,Export,USA,Bangladesh,Beer made from malt,2203,24140
2016,2016,Export,USA,Barbados,Beer made from malt,2203,84214
2016,2016,Export,USA,Belgium,Beer made from malt,2203,2746823
2016,2016,Export,USA,Bermuda,Beer made from malt,2203,971563
2016,2016,Export,USA,Bolivia (Plurinational State of),Beer made from malt,2203,176159
